"rider_type","end_station_name","number_of_rides"
"casual","Clark St & Chicago Ave",4249
"casual","Western Ave & Winnebago Ave",4243
"casual","Morgan St & Lake St",4195
"casual","Clarendon Ave & Gordon Ter",4113
"casual","Cannon Dr & Fullerton Ave",4097
"casual","Wabash Ave & Adams St",4065
"casual","Larrabee St & Division St",4055
"casual","Sheffield Ave & Willow St",4046
"casual","Dayton St & North Ave",4006
"casual","Canal St & Madison St",3940
"casual","Clark St & Randolph St",3919
"casual","Aberdeen St & Randolph St",3886
"casual","Damen Ave & Division St",3884
"casual","Desplaines St & Randolph St",3875
"casual","Racine Ave & Fullerton Ave",3834
"casual","Clifton Ave & Armitage Ave",3805
"casual","State St & Harrison St",3716
"casual","Rush St & Hubbard St",3710
"casual","Paulina Ave & North Ave",3689
"casual","Calumet Ave & 18th St",3642
"casual","Ashland Ave & Blackhawk St",3634
"casual","Ellis Ave & 55th St",3629
"casual","Halsted St & Willow St",3613
"casual","Broadway & Wilson - Truman College Vaccination Site",3610
"casual","Sangamon St & Lake St",3561
"casual","Eckhart Park",3552
"casual","Halsted St & Maxwell St",3550
"casual","Michigan Ave & 18th St",3543
"casual","Franklin St & Adams St (Temp)",3541
"casual","Marine Dr & Ainslie St",3538
"casual","Western Ave & Walton St",3494
"casual","Carpenter St & Huron St",3470
"casual","Franklin St & Monroe St",3464
"casual","Aberdeen St & Jackson Blvd",3460
"casual","Ogden Ave & Race Ave",3453
"casual","Clark St & Bryn Mawr Ave",3436
"casual","Elston Ave & Cortland St",3434
"casual","California Ave & Cortez St",3411
"casual","Larrabee St & Armitage Ave",3319
"casual","Wells St & Polk St",3299
"casual","Racine Ave & Wrightwood Ave",3294
"casual","Clark St & Leland Ave",3275
"casual","Canal St & Monroe St",3228
"casual","Orleans St & Chestnut St (NEXT Apts)",3225
"casual","State St & Van Buren St",3213
"casual","Ada St & Washington Blvd",3201
"casual","Ashland Ave & Grace St",3200
"casual","Broadway & Argyle St",3194
"casual","Sedgwick St & Huron St",3144
"casual","Clinton St & Roosevelt Rd",3136
"casual","Greenview Ave & Diversey Pkwy",3122
"casual","Damen Ave & Charleston St",3093
"casual","900 W Harrison St",3062
"casual","Broadway & Granville Ave",3060
"casual","Canal St & Jackson Blvd",3030
"casual","Broadway & Thorndale Ave",3027
"casual","Ashland Ave & Wrightwood Ave",3020
"casual","Wells St & Walton St",3020
"casual","Wabash Ave & 16th St",3010
